arm	n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp
H0	10567	0.9374467682407495	0.8702384452668023	0.9846253151239219	0.9894098494368498	0.9500717817833785	0.9190321079571894	0.9447969543147208	0.04958279048695473	3950	348	313	5956
H1	10567	0.9348916437967256	0.8648251854951179	0.9842108654186389	0.9889326204600464	0.9507098420800766	0.9118194509073988	0.9402113898091181	0.05052426046523054	3919	379	309	5960
H2	10567	0.9358379861834012	0.8670702096719654	0.984576807398946	0.98935096364342	0.9456053597064923	0.9215914378780828	0.9462090981644055	0.049933116122556825	3961	337	341	5928
H3	10567	0.9357433519447336	0.8667763867781197	0.9843711227686354	0.9891814468762254	0.9472005104482374	0.9190321079571894	0.9446388800509068	0.050215458013657004	3950	348	331	5938
