arm	n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp
H0	7934	0.9979833627426267	0.9957186019567943	0.9999182465586657	0.9999573082667791	0.9983746444534742	0.99734395750332	0.9983746444534742	0.009664524267272968	3004	8	8	4914
H1	7934	0.9979833627426267	0.9957186019567943	0.9999826644930504	0.9999894320142823	0.9983746444534742	0.99734395750332	0.9983746444534742	0.010298305762282	3004	8	8	4914
H2	7934	0.9976052432568692	0.9949183667682528	0.9998966614916468	0.9999487828436178	0.9975619666802112	0.997675962815405	0.9985763677038845	0.01003042489392852	3005	7	12	4910
H3	7934	0.9976052432568692	0.9949183667682528	0.9999504217991908	0.9999719135032868	0.9975619666802112	0.997675962815405	0.9985763677038845	0.010358857663661618	3005	7	12	4910
