path	relative_path	size_bytes	suffix	header_status	delimiter	header_field_count	header_fields	data_rows_read
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/taxonomy_train_test_overlap.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/taxonomy_train_test_overlap.tsv	298	.tsv	HEADER_ONLY_OK	TAB	6	rank | n_train_taxa | n_test_taxa | n_shared_taxa | n_test_only_taxa | fraction_test_taxa_seen_in_train	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/test_nearest_train_by_threshold.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/test_nearest_train_by_threshold.tsv	10952	.tsv	HEADER_ONLY_OK	TAB	15	test_id | train_id | fident | alnlen | qlen | tlen | qcov | tcov | evalue | bits | search_direction | test_label | train_label | label_concordant | threshold	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/train_mmseqs_cluster_25.log	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/train_mmseqs_cluster_25.log	50133	.log	NOT_TABULAR		0		0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/train_mmseqs_cluster_25_cluster.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/train_mmseqs_cluster_25_cluster.tsv	548372	.tsv	HEADER_ONLY_OK	TAB	2	HPCLAS_TRAIN_P_003944 | HPCLAS_TRAIN_P_003944	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/train_mmseqs_cluster_40.log	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/train_mmseqs_cluster_40.log	49994	.log	NOT_TABULAR		0		0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/train_mmseqs_cluster_40_cluster.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1_homology_taxonomy_shortcut_v1/train_mmseqs_cluster_40_cluster.tsv	548372	.tsv	HEADER_ONLY_OK	TAB	2	HPCLAS_TRAIN_P_004442 | HPCLAS_TRAIN_P_004442	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/.stages/03_strict25_and_conflict_sensitivity.json	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/.stages/03_strict25_and_conflict_sensitivity.json	683	.json	NOT_TABULAR		0		0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_fixed_test_unchanged_manifest.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_fixed_test_unchanged_manifest.tsv	27300	.tsv	HEADER_ONLY_OK	TAB	8	clean_id | original_id | split | label | cluster_id | embedding_row | length_recomputed | sequence_sha256	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_LABEL_PERMUTATION_SUMMARY.json	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_LABEL_PERMUTATION_SUMMARY.json	159	.json	NOT_TABULAR		0		0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_removed_training_primary40.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_removed_training_primary40.tsv	4216	.tsv	HEADER_ONLY_OK	TAB	6	clean_id | label | training_homology_group | linked_fixed_test_ids | repair_threshold | removal_reason	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_removed_training_strict25.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_removed_training_strict25.tsv	20059	.tsv	HEADER_ONLY_OK	TAB	6	clean_id | label | training_homology_group | linked_fixed_test_ids | repair_threshold | removal_reason	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_train_primary40_manifest.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_train_primary40_manifest.tsv	2086152	.tsv	HEADER_ONLY_OK	TAB	11	clean_id | original_id | split | label | cluster_id | embedding_row | length_recomputed | sequence_sha256 | homology_group | m1r_fold | mixed_label_40_group	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_train_strict25_manifest.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M1R_homology_repair_v1/M1R_train_strict25_manifest.tsv	1968433	.tsv	HEADER_ONLY_OK	TAB	9	clean_id | original_id | split | label | cluster_id | embedding_row | length_recomputed | sequence_sha256 | homology_group	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M3_AND_EXTERNAL_INVENTORY.txt	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M3_AND_EXTERNAL_INVENTORY.txt	74721	.txt	HEADER_ONLY_OK	TAB	1	==================== M3 CORE RESULTS ====================	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M3_comparator_efficiency_v1/.stages/01_prospective_final_v3_development_only.json	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M3_comparator_efficiency_v1/.stages/01_prospective_final_v3_development_only.json	699	.json	NOT_TABULAR		0		0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/LEGACY_EXTERNAL_FILE_INVENTORY.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/LEGACY_EXTERNAL_FILE_INVENTORY.tsv	19484	.tsv	HEADER_ONLY_OK	TAB	3	bytes | modified | path	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/M4A_literature_source_frame_LOCKED.tsv	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/M4A_literature_source_frame_LOCKED.tsv	1803264	.tsv	HEADER_ONLY_OK	TAB	18	query_name | query_text | source | id | pmid | pmcid | doi | title | author_string | journal_title | first_publication_date | publication_year | publication_type | abstract | is_open_access | cited_by_count | dedup_key | salt_keyword_hit	0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/M4A_PROTOCOL_AMENDMENT_01_PROTEIN_LEVEL_UNIT.json	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/M4A_PROTOCOL_AMENDMENT_01_PROTEIN_LEVEL_UNIT.json	1947	.json	NOT_TABULAR		0		0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/M4A_PROTOCOL_AMENDMENT_01_PROTEIN_LEVEL_UNIT.md	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/M4A_PROTOCOL_AMENDMENT_01_PROTEIN_LEVEL_UNIT.md	597	.md	NOT_TABULAR		0		0
/home/lvfang/ESMC_halophile/sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/M4A_SHA256_MANIFEST.txt	sci_revision_20260820/submission_hardening_audit_v1_20260901T015914Z/collected/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/M4A_SHA256_MANIFEST.txt	1561	.txt	HEADER_ONLY_OK	TAB	1	ad2c7dd6ce0d0199bd6f324f0a787d25732ce8017a0ac9f35e29462b5e74a314  /home/lvfang/ESMC_halophile/sci_revision_20260820/M4_independent_taxonomy_controlled_external_validation_v1/00_preregistration/M4A_literature_source_frame_LOCKED.tsv	0
