contrast	metric	replicates	mean_difference	ci_lower_2_5	ci_upper_97_5
deepsaltpro_minus_esmc_v1	accuracy	5000	0.012986591165763957	0.007559989701159464	0.018532570287157105
deepsaltpro_minus_esmc_v1	mcc	5000	0.02686739033594515	0.015656102017599777	0.03836515823641453
deepsaltpro_minus_esmc_v1	auroc	5000	0.006331441064420295	0.003940224398027073	0.008758455886012725
deepsaltpro_minus_esmc_v1	ap	5000	0.004220549319064985	0.002330708585247007	0.006168096994138035
deepsaltpro_minus_esmc_v1	brier	5000	-0.011280614495077784	-0.014815591953562524	-0.007753221656839617
esmc_v1_minus_aac_catboost	accuracy	5000	0.02361882294638616	0.01692651396318488	0.030186401263538876
esmc_v1_minus_aac_catboost	mcc	5000	0.04943773734916753	0.035601705803036635	0.06302855952885937
esmc_v1_minus_aac_catboost	auroc	5000	0.016222019867878613	0.012914108339127123	0.01942172614501076
esmc_v1_minus_aac_catboost	ap	5000	0.011288300014144976	0.00867149236974559	0.013979993907328382
esmc_v1_minus_aac_catboost	brier	5000	-0.009827304549707944	-0.014047122891987129	-0.005631250731579637
deepsaltpro_minus_aac_catboost	accuracy	5000	0.03660541411215012	0.030592915324872183	0.04257352214464402
deepsaltpro_minus_aac_catboost	mcc	5000	0.0763051276851127	0.06387228544744879	0.0886289672207929
deepsaltpro_minus_aac_catboost	auroc	5000	0.02255346093229891	0.019671828950033495	0.025505630633718124
deepsaltpro_minus_aac_catboost	ap	5000	0.015508849333209963	0.013098781448116704	0.018068459461268744
deepsaltpro_minus_aac_catboost	brier	5000	-0.021107919044785727	-0.024013049577938282	-0.01815117171395297
