mode	contrast	fold	ACC	MCC	Brier	log_loss	AP	AUROC
raw	M0-B0	0	-0.0009460737937559971	-0.002951000711708285	-0.00949332324501096	-0.16082595499355823	-0.0010942596616997369	0.0003667334297688951
raw	Mixup_KD-H0	0	0.001419110690633829	0.002960028460940789	0.002847873005641245	0.014488359828905006	0.00025059418320927396	0.0002874522458365947
raw	(M0-B0)-(Mixup_KD-H0)	0	-0.002365184484389826	-0.005911029172649074	-0.012341196250652206	-0.17531431482246326	-0.0013448538449090108	7.928118393230044e-05
raw	H0-B0	0	0.005203405865657484	0.00986930108328865	-0.00972364463889458	-0.14045562442981277	0.0015537722887757344	0.002531897926634774
raw	Mixup_KD-M0	0	0.007568590350047311	0.015780330255937725	0.0026175516117576264	0.034858690392650465	0.002898626133684745	0.0024526167427024737
raw	M0-B0	1	-0.0018921475875118832	-0.003533110684662888	-0.0026158521477498073	-0.005368618165468353	-0.0015763114609419482	-0.0008697748599828525
raw	Mixup_KD-H0	1	-0.00047303689687794304	-0.0009324766120527572	-0.00017920259487001072	-0.0030260616906047644	0.00015070016022744603	0.00016876228626538925
raw	(M0-B0)-(Mixup_KD-H0)	1	-0.0014191106906339401	-0.0026006340726101307	-0.0024366495528797966	-0.0023425564748635885	-0.0017270116211693942	-0.0010385371462482418
raw	H0-B0	1	0.007568590350047311	0.01573927691498922	-0.003380006943420104	0.006510150208328375	0.002141176215769036	0.0036024257260487413
raw	Mixup_KD-M0	1	0.00898770104068125	0.01833991098759935	-0.0009433573905403073	0.008852706683191963	0.0038681878369384304	0.004640962872296983
raw	M0-B0	2	-0.004732607666824484	-0.009389244655171991	0.0018249982262816752	0.00926834724343839	-0.00101932587590714	-0.0013098944843322746
raw	Mixup_KD-H0	2	-0.0009465215333649413	-0.001993377478441527	0.002628083254505087	0.012329949126497958	3.687022405307605e-05	0.00022001771281821014
raw	(M0-B0)-(Mixup_KD-H0)	2	-0.003786086133459543	-0.007395867176730464	-0.0008030850282234117	-0.003061601883059567	-0.001056196099960216	-0.0015299121971504848
raw	H0-B0	2	0.0014197823000473564	0.0029893916110387275	0.0019526198168610745	0.02711664488107346	0.0004884838668349767	0.0009561951232193167
raw	Mixup_KD-M0	2	0.005205868433506899	0.010385258787769192	0.002755704845084486	0.030178246764133027	0.0015446799667951927	0.0024861073203698014
raw	M0-B0	3	0.0023663038334121866	0.0044330224150848085	0.0009227503653901209	0.012626184476471541	-0.0035200092916435333	-0.002703339998848975
raw	Mixup_KD-H0	3	-0.003312825366777017	-0.006817443461971551	0.0016123017640523873	0.005447305816604103	0.00011580733118732311	0.00021166260979998963
raw	(M0-B0)-(Mixup_KD-H0)	3	0.0056791292001892035	0.01125046587705636	-0.0006895513986622664	0.007178878659867438	-0.0036358166228308564	-0.0029150026086489644
raw	H0-B0	3	0.003312825366777017	0.00700627965068179	1.28695190756839e-05	0.021952009208323714	0.0008768588268871502	0.002025648309576855
raw	Mixup_KD-M0	3	-0.0023663038334121866	-0.004244186226374569	0.0007024209177379503	0.014773130548456276	0.004512675449718007	0.00494065091822582
raw	M0-B0	4	0.004732607666824484	0.010103453154814424	-0.009125630705984364	-0.09975621555239753	-0.0036787853584107078	0.0002904656730822186
raw	Mixup_KD-H0	4	0.0014197823000473564	0.0031441027487615347	0.0020974226517194994	0.009752940749821859	-0.0004751836681160526	-0.00039811429313818536
raw	(M0-B0)-(Mixup_KD-H0)	4	0.003312825366777128	0.006959350406052889	-0.011223053357703863	-0.10950915630221936	-0.003203601690294655	0.000688579966220404
raw	H0-B0	4	0.005205868433506899	0.011252515916815975	-0.00823842706192647	-0.0908671954150817	0.0019303090251804322	0.0031412980938767543
raw	Mixup_KD-M0	4	0.0018930430667297715	0.004293165510763086	0.002984626295777393	0.018641960887137682	0.005133910715475087	0.0024527181276563503
crossfit_Platt	M0-B0	0	0.00047303689687794304	-6.0973023905952495e-05	-0.004665564600516134	-0.06278926781550587	-0.0006365679046270722	0.00046131449130215607
crossfit_Platt	Mixup_KD-H0	0	0.0018921475875117721	0.0039552506420745814	-0.0009062598320456472	-0.0030903039397780774	0.00025059418320927396	0.0002874522458365947
crossfit_Platt	(M0-B0)-(Mixup_KD-H0)	0	-0.001419110690633829	-0.004016223665980534	-0.0037593047684704867	-0.05969896387572779	-0.0008871620878363462	0.0001738622454655614
crossfit_Platt	H0-B0	0	0.004257332071901598	0.007751913736408822	-0.008641804488919241	-0.07668813162067431	0.002011464045848399	0.002626478988168035
crossfit_Platt	Mixup_KD-M0	0	0.0056764427625354275	0.011768137402389356	-0.004882499720448755	-0.01698916774494652	0.002898626133684745	0.0024526167427024737
crossfit_Platt	M0-B0	1	-0.0014191106906339401	-0.0022941544073455944	-0.004137758405023208	-0.013272412521425803	-0.0015763114609419482	-0.0008697748599828525
crossfit_Platt	Mixup_KD-H0	1	-0.001419110690633829	-0.0027792980606119455	0.0004559931629571634	-0.00026290215913918336	0.00015070016022744603	0.00016876228626538925
crossfit_Platt	(M0-B0)-(Mixup_KD-H0)	1	-1.1102230246251565e-16	0.0004851436532663511	-0.004593751567980371	-0.01300951036228662	-0.0017270116211693942	-0.0010385371462482418
crossfit_Platt	H0-B0	1	0.008514664143803197	0.01766682179554402	-0.0085366198648388	-0.029394884966616797	0.002141176215769036	0.0036024257260487413
crossfit_Platt	Mixup_KD-M0	1	0.008514664143803308	0.017181678142277668	-0.003942868296858429	-0.016385374604330177	0.0038681878369384304	0.004640962872296983
crossfit_Platt	M0-B0	2	-0.0056791292001893146	-0.011053196585029124	-0.004390707319776838	-0.022529807249333705	-0.00101932587590714	-0.0013098944843322746
crossfit_Platt	Mixup_KD-H0	2	-0.00047326076668252615	-0.0009994942979681953	0.0007704901829987329	0.0006892028926240301	3.687022405307605e-05	0.00022001771281821014
crossfit_Platt	(M0-B0)-(Mixup_KD-H0)	2	-0.005205868433506788	-0.010053702287060928	-0.0051611975027755705	-0.023219010141957735	-0.001056196099960216	-0.0015299121971504848
crossfit_Platt	H0-B0	2	0.002839564600094713	0.005812659747811866	-0.007624823086947306	-0.033369734517726346	0.0004884838668349767	0.0009561951232193167
crossfit_Platt	Mixup_KD-M0	2	0.008045433033601501	0.015866362034872794	-0.002463625584171736	-0.01015072437576861	0.0015446799667951927	0.0024861073203698014
crossfit_Platt	M0-B0	3	0.0009465215333649413	0.0012264168368028017	-0.0032752065422582133	-0.008295543561113228	-0.0035200092916435333	-0.002703339998848975
crossfit_Platt	Mixup_KD-H0	3	-0.0014197823000473564	-0.0025513792489562093	4.873282398992762e-05	-0.0021707482529716993	0.00011580733118732311	0.00021166260979998963
crossfit_Platt	(M0-B0)-(Mixup_KD-H0)	3	0.0023663038334122977	0.003777796085759011	-0.003323939366248141	-0.0061247953081415285	-0.0036358166228308564	-0.0029150026086489644
crossfit_Platt	H0-B0	3	0.0009465215333649413	0.0021026978053449996	-0.006699273568762751	-0.026389272162999716	0.0008768588268871502	0.002025648309576855
crossfit_Platt	Mixup_KD-M0	3	-0.0014197823000473564	-0.0016750982804140113	-0.00337533420251461	-0.020264476854858188	0.004512675449718007	0.00494065091822582
crossfit_Platt	M0-B0	4	0.004732607666824484	0.010403211205326945	-0.005596734076902858	-0.025774870755261775	-0.0036786303066298487	0.0002904656730822186
crossfit_Platt	Mixup_KD-H0	4	0.0028395646000946018	0.006521917727698945	-0.0005586780052726573	-0.0009218928970656792	-0.0004751836681160526	-0.00039811429313818536
crossfit_Platt	(M0-B0)-(Mixup_KD-H0)	4	0.0018930430667298825	0.0038812934776280006	-0.005038056071630201	-0.024852977858196096	-0.003203446638513796	0.000688579966220404
crossfit_Platt	H0-B0	4	0.005205868433506899	0.01135229099969115	-0.005880995090277459	-0.036694905415171675	0.0019304640769612913	0.0031412980938767543
crossfit_Platt	Mixup_KD-M0	4	0.003312825366777017	0.00747099752206315	-0.0008429390186472582	-0.011841927556975579	0.005133910715475087	0.0024527181276563503
