mode	contrast	ACC	MCC	Brier	log_loss	AP	AUROC
raw	M0-B0	-9.463423866751253e-05	-0.00019991579406886117	-0.0036978576405639063	-0.04881774066397543	0.0004489837697959631	0.0020826775017164234
raw	Mixup_KD-H0	-0.00037853695467016113	-0.0007397031174750657	0.001801207235323711	0.0077981074821155405	-1.4324079283478675e-05	9.708967753374598e-05
raw	(M0-B0)-(Mixup_KD-H0)	0.0002839027160026486	0.0005397873234062045	-0.005499064875887617	-0.05661584814609097	0.0004633078490794418	0.0019855878241826774
raw	H0-B0	0.004542443456042378	0.009476499769738411	-0.003875824440241274	-0.03515482637696499	0.004164931689210283	0.0057454746597798145
raw	Mixup_KD-M0	0.004258540740039729	0.008936712446332207	0.0016232404356463434	0.021461021769125982	0.003701623840130841	0.003759886835597137
crossfit_Platt	M0-B0	-0.00018926847733502505	-0.0003168229630067243	-0.004413192006121509	-0.026534556676503868	0.0018439161083390054	0.003803978019431442
crossfit_Platt	Mixup_KD-H0	0.0002839027160026486	0.0007785702280862505	-3.7979762451699484e-05	-0.0011514282891099958	-3.087910624710588e-05	6.023568296542603e-05
crossfit_Platt	(M0-B0)-(Mixup_KD-H0)	-0.00047317119333767366	-0.0010953931910929748	-0.00437521224366981	-0.025383128387393872	0.0018747952145861113	0.003743742336466016
crossfit_Platt	H0-B0	0.004353174978707353	0.009043565980502377	-0.00747691378282541	-0.04050975805092891	0.005780597889762262	0.007741120321352102
crossfit_Platt	Mixup_KD-M0	0.004826346172045026	0.010138959171595352	-0.0031017015391556005	-0.015126629663535035	0.003905802675176151	0.003997377984886086
