n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	representation	head	fold	shared_groups
2113	0.893989588263133	0.7812535449805477	0.9644518216909614	0.9765658633367479	0.9027113237639554	0.8812572759022119	0.9173419773095624	0.07490287174572148	757	102	122	1132	layer36_max	catboost	2	0
2113	0.9006152389966872	0.7953816973117884	0.9681234252951673	0.9791659852980603	0.905103668261563	0.8940628637951106	0.9257748776508973	0.07097296798132977	768	91	119	1135	layer36_max	catboost	3	0
2113	0.9053478466635116	0.8033503028173333	0.9671059225301137	0.978424063733862	0.928172386272945	0.872093023255814	0.9135899450117831	0.07033790806995582	750	110	90	1163	layer36_max	catboost	4	0
2114	0.9200567644276254	0.8350765340659839	0.9785523533993545	0.9842388480333675	0.9250398724082934	0.9127906976744186	0.9392712550607287	0.07927905569003209	785	75	94	1160	layer36_mean_max	rbf_svm	0	0
2114	0.9323557237464523	0.8599811256103257	0.9815242387151812	0.9874626359916763	0.9409888357256778	0.9197674418604651	0.944755804643715	0.07623832954080176	791	69	74	1180	layer36_mean_max	rbf_svm	1	0
2113	0.9351632749645055	0.8660926642874871	0.9832758687914621	0.9891418349611989	0.9393939393939394	0.9289871944121071	0.9507667473769169	0.0747608759513056	798	61	76	1178	layer36_mean_max	rbf_svm	2	0
2113	0.9375295787979177	0.8710956258837611	0.9858056083164839	0.9906867043890046	0.9401913875598086	0.9336437718277066	0.9538834951456311	0.07287046215673033	802	57	75	1179	layer36_mean_max	rbf_svm	3	0
2113	0.9351632749645055	0.8655678817623926	0.9840383080606545	0.9887274623316084	0.9473264166001596	0.9174418604651163	0.9435612082670907	0.07351794227822984	789	71	66	1187	layer36_mean_max	rbf_svm	4	0
2114	0.9157994323557237	0.8261481592109653	0.9760654278402134	0.9824709664599698	0.9226475279106858	0.9058139534883721	0.9345718901453958	0.059287342569705026	779	81	97	1157	layer36_mean_max	catboost	0	0
2114	0.924314096499527	0.843180890916509	0.9784920811542599	0.9855580301899417	0.9362041467304625	0.9069767441860465	0.9362041467304625	0.055975297619823124	780	80	80	1174	layer36_mean_max	catboost	1	0
2113	0.9256980596308566	0.8464496218428388	0.9811341773844071	0.987648647912782	0.9322169059011164	0.9161816065192084	0.9419822723609992	0.05373865671408854	787	72	85	1169	layer36_mean_max	catboost	2	0
2113	0.9280643634642688	0.8519006851279445	0.9817403865256326	0.9878378671450959	0.9290271132376395	0.9266589057043073	0.9486970684039088	0.05267368338912753	796	63	89	1165	layer36_mean_max	catboost	3	0
2113	0.9318504495977283	0.8586004756539104	0.9802873104549081	0.9867838393247004	0.9465283320031923	0.9104651162790698	0.9390340459224069	0.05315053798009974	783	77	67	1186	layer36_mean_max	catboost	4	0
2114	0.923368022705771	0.8422421379194892	0.9796845443418272	0.9850395726766168	0.9250398724082934	0.9209302325581395	0.9446254071661238	0.07371695765009652	792	68	94	1160	layer36_mean_std	rbf_svm	0	0
2114	0.934720908230842	0.8647945756046685	0.9833194243536961	0.9888494594659708	0.9441786283891547	0.9209302325581395	0.9456869009584664	0.06988084175425595	792	68	70	1184	layer36_mean_std	rbf_svm	1	0
2113	0.9332702318977757	0.8621798181291488	0.9839888375823674	0.9893694221705914	0.937799043062201	0.9266589057043073	0.9491525423728814	0.06875187348543678	796	63	78	1176	layer36_mean_std	rbf_svm	2	0
2113	0.934690014197823	0.8652292975080471	0.9857090604593822	0.9906254195216158	0.937799043062201	0.930151338766007	0.9514563106796117	0.06794523248559152	799	60	78	1176	layer36_mean_std	rbf_svm	3	0
2113	0.9337434926644581	0.8627904286680561	0.9837691865105144	0.9886404415717184	0.9433359936153233	0.9197674418604651	0.9448441247002398	0.0683149003045299	791	69	71	1182	layer36_mean_std	rbf_svm	4	0
2114	0.9143803216650899	0.8230017772115567	0.9756268313489855	0.9820617788777717	0.9234449760765551	0.9011627906976745	0.9316170555108608	0.05873717265498244	775	85	96	1158	layer36_mean_std	catboost	0	0
2114	0.9238410596026491	0.8424220679736751	0.9787767516041691	0.9855798118453739	0.9330143540669856	0.9104651162790698	0.9382518043303929	0.05564905800537501	783	77	84	1170	layer36_mean_std	catboost	1	0
2113	0.9233317557974444	0.8420383852380403	0.9809800721509563	0.9875626429603198	0.9258373205741627	0.919674039580908	0.9439024390243902	0.05411360871550548	790	69	93	1161	layer36_mean_std	catboost	2	0
2113	0.926171320397539	0.8478062754543587	0.9819112019651203	0.9877668016365491	0.9290271132376395	0.9220023282887078	0.9456168831168831	0.052781764825024585	792	67	89	1165	layer36_mean_std	catboost	3	0
2113	0.927117841930904	0.8487777140910773	0.9808468976781306	0.9873985910647847	0.942537909018356	0.9046511627906977	0.9350752177355502	0.052573559942476755	778	82	72	1181	layer36_mean_std	catboost	4	0
2114	0.9162724692526018	0.8273557396214745	0.9781156114387448	0.9837596528845648	0.9210526315789473	0.9093023255813953	0.9367396593673966	0.07896413374112941	782	78	99	1155	layer36_mean_max_std	rbf_svm	0	0
2114	0.9337748344370861	0.8627832795519454	0.9816865101442824	0.987680590005749	0.9441786283891547	0.9186046511627907	0.9441786283891547	0.07556859424888508	790	70	70	1184	layer36_mean_max_std	rbf_svm	1	0
2113	0.9323237103644108	0.8601492271059604	0.9827197902683473	0.9885625155864984	0.937799043062201	0.9243306169965075	0.9476228847703465	0.07429474022243925	794	65	78	1176	layer36_mean_max_std	rbf_svm	2	0
2113	0.934690014197823	0.8650777921595921	0.9855243198481971	0.9905652394099214	0.9393939393939394	0.9278230500582072	0.95	0.07239978850782218	797	62	76	1178	layer36_mean_max_std	rbf_svm	3	0
2113	0.9332702318977757	0.8618376007195595	0.9831000946565452	0.9883084238651952	0.942537909018356	0.9197674418604651	0.9448	0.07347496593784351	791	69	72	1181	layer36_mean_max_std	rbf_svm	4	0
2114	0.9195837275307474	0.8343358400608967	0.9763065168205927	0.982927353010845	0.9226475279106858	0.9151162790697674	0.9406504065040651	0.059111897856559896	787	73	97	1157	layer36_mean_max_std	catboost	0	0
2114	0.9280983916745507	0.850969034559302	0.9790085679314566	0.9859080546249355	0.9401913875598086	0.9104651162790698	0.9386942675159236	0.05482744929707208	783	77	75	1179	layer36_mean_max_std	catboost	1	0
2113	0.9247515380974917	0.8445720104166263	0.9809540784971212	0.9876164420077208	0.930622009569378	0.9161816065192084	0.9418886198547215	0.053861954334982594	787	72	87	1167	layer36_mean_max_std	catboost	2	0
2113	0.9256980596308566	0.8470676629381484	0.9816531221163289	0.9876964697605063	0.9266347687400319	0.9243306169965075	0.9470252648736757	0.05246793849381339	794	65	92	1162	layer36_mean_max_std	catboost	3	0
2113	0.9252247988641742	0.844890601769061	0.9794762337831066	0.9863290967239952	0.9401436552274541	0.9034883720930232	0.9341792228390167	0.05464047421998169	777	83	75	1178	layer36_mean_max_std	catboost	4	0
