n	accuracy	mcc	auroc	ap	sensitivity	specificity	ppv	brier_uncalibrated	tn	fp	fn	tp	representation	head	fold	shared_groups
2114	0.9262062440870388	0.8473504563151522	0.9800313415674492	0.9857030750500254	0.9346092503987241	0.913953488372093	0.9406099518459069	0.0725864391943762	786	74	82	1172	canonical_mean	rbf_svm	0	0
2114	0.9323557237464523	0.8597697918724773	0.9827426653314046	0.9883803431226511	0.9441786283891547	0.9151162790697674	0.9419252187748608	0.06983348797251213	787	73	70	1184	canonical_mean	rbf_svm	1	0
2113	0.9394226218646474	0.8750839015859226	0.9847027347180524	0.9901529194274661	0.9409888357256778	0.9371362048894063	0.9562398703403565	0.06808259650599821	805	54	74	1180	canonical_mean	rbf_svm	2	0
2113	0.9417889256980596	0.8799325974515956	0.9865046519356916	0.9910522059514437	0.9433811802232854	0.9394644935972061	0.9578947368421052	0.06648887487494322	807	52	71	1183	canonical_mean	rbf_svm	3	0
2113	0.9408424041646948	0.877225672559118	0.9844067261827428	0.9888633690366035	0.9553072625698324	0.9197674418604651	0.9454976303317536	0.06681483414433478	791	69	56	1197	canonical_mean	rbf_svm	4	0
2114	0.9200567644276254	0.834590942094719	0.9771512555172286	0.9836189106027016	0.9298245614035088	0.9058139534883721	0.9350441058540497	0.05790593727980057	779	81	88	1166	canonical_mean	catboost	0	0
2114	0.9224219489120151	0.8392604131894218	0.9791736211564852	0.985874585439974	0.9346092503987241	0.9046511627906977	0.9346092503987241	0.055524531253454405	778	82	82	1172	canonical_mean	catboost	1	0
2113	0.9275911026975864	0.8504412796541339	0.9812465071027658	0.9877761832614171	0.9330143540669856	0.919674039580908	0.9443099273607748	0.053719412514958965	790	69	84	1170	canonical_mean	catboost	2	0
2113	0.9323237103644108	0.8608325399022266	0.9827578524043201	0.9885901295785954	0.9314194577352473	0.9336437718277066	0.953469387755102	0.05079442634380256	802	57	86	1168	canonical_mean	catboost	3	0
2113	0.9233317557974444	0.8409195048408108	0.9806798567159747	0.9869582072535488	0.9393455706304868	0.9	0.931908155186065	0.05353371569447509	774	86	76	1177	canonical_mean	catboost	4	0
2114	0.9257332071901608	0.8464066396686886	0.9800387596899225	0.9857325066041067	0.9338118022328549	0.913953488372093	0.940562248995984	0.07258114903714381	786	74	83	1171	streamed_layer36_mean	rbf_svm	0	0
2114	0.9323557237464523	0.8597697918724773	0.9827352472089315	0.9883732185018081	0.9441786283891547	0.9151162790697674	0.9419252187748608	0.06982269748907571	787	73	70	1184	streamed_layer36_mean	rbf_svm	1	0
2113	0.9394226218646474	0.8750839015859226	0.9847073764419515	0.9901568241263051	0.9409888357256778	0.9371362048894063	0.9562398703403565	0.0680701512293821	805	54	74	1180	streamed_layer36_mean	rbf_svm	2	0
2113	0.9417889256980596	0.8799325974515956	0.9865074369700311	0.9910525600808108	0.9433811802232854	0.9394644935972061	0.9578947368421052	0.06649172976408305	807	52	71	1183	streamed_layer36_mean	rbf_svm	3	0
2113	0.9408424041646948	0.877225672559118	0.9844020861560163	0.9888559862833151	0.9553072625698324	0.9197674418604651	0.9454976303317536	0.06681527452771562	791	69	56	1197	streamed_layer36_mean	rbf_svm	4	0
2114	0.9219489120151372	0.838372490047424	0.9774507622120842	0.9828856616381096	0.9330143540669856	0.9058139534883721	0.935251798561151	0.05730568467305	779	81	84	1170	streamed_layer36_mean	catboost	0	0
2114	0.9167455061494797	0.8274375259089247	0.978783242461333	0.9857121325872225	0.930622009569378	0.8965116279069767	0.929140127388535	0.056236986491994635	771	89	87	1167	streamed_layer36_mean	catboost	1	0
2113	0.9266445811642214	0.8489231417573061	0.9811146821440309	0.9876560130908278	0.9282296650717703	0.9243306169965075	0.9471114727420668	0.05371151338101657	794	65	90	1164	streamed_layer36_mean	catboost	2	0
2113	0.9299574065309986	0.8561056967941209	0.9828497585375228	0.9884964761966064	0.9282296650717703	0.9324796274738067	0.9525368248772504	0.0509190979620792	801	58	90	1164	streamed_layer36_mean	catboost	3	0
2113	0.9238050165641268	0.8420667844675465	0.979749067354628	0.986448957088099	0.936951316839585	0.9046511627906977	0.9347133757961783	0.05470201187880391	778	82	79	1174	streamed_layer36_mean	catboost	4	0
2114	0.8964049195837275	0.7863394103074516	0.9647935907421833	0.9748762422321934	0.9043062200956937	0.8848837209302326	0.9197080291970803	0.09254792493790294	761	99	120	1134	layer36_max	rbf_svm	0	0
2114	0.9072847682119205	0.8081208545849741	0.9711388672526984	0.9809196794503892	0.919457735247209	0.8895348837209303	0.9238782051282052	0.08793823602387218	765	95	101	1153	layer36_max	rbf_svm	1	0
2113	0.910080454330336	0.8149047219283575	0.9707627095042082	0.9808658648407829	0.9130781499202552	0.9057043073341094	0.933931484502447	0.08807650448039439	778	81	109	1145	layer36_max	rbf_svm	2	0
2113	0.9124467581637482	0.8191385103874274	0.975945658409968	0.9844740821758171	0.9202551834130781	0.9010477299185099	0.9313962873284907	0.08496013370504507	774	85	100	1154	layer36_max	rbf_svm	3	0
2113	0.9081874112636062	0.8092955883748227	0.9732474619053805	0.9823872089871915	0.9297685554668795	0.8767441860465116	0.9166011014948859	0.0858113721380542	754	106	88	1165	layer36_max	rbf_svm	4	0
2114	0.8897824030274362	0.7732710962091032	0.9585707132524757	0.9709308505295	0.8947368421052632	0.8825581395348837	0.9174161896974653	0.07997327355279904	759	101	132	1122	layer36_max	catboost	0	0
2114	0.8921475875118259	0.7770750645122214	0.9646600645376655	0.9767335847327119	0.9043062200956937	0.8744186046511628	0.9130434782608695	0.0744414904981467	752	108	120	1134	layer36_max	catboost	1	0
