fold	target_ratio	system	source_prior	estimated_prior	iterations	boundary	before_n	before_positive	before_ACC	before_MCC	before_Brier	before_log_loss	before_AP	before_AUROC	before_TN	before_FP	before_FN	before_TP	after_n	after_positive	after_ACC	after_MCC	after_Brier	after_log_loss	after_AP	after_AUROC	after_TN	after_FP	after_FN	after_TP
0	0.3	ESMCHalo	0.5932804922280503	0.29375974250895015	13	False	500	150	0.914	0.8082939592889445	0.0604626742586922	0.19556632611850266	0.9632103453566755	0.9801523809523809	317	33	10	140	500	150	0.934	0.8420409404728022	0.047984940431397206	0.1657826834399423	0.9632103453566755	0.9801523809523809	335	15	18	132
0	0.3	DeepSaltPro	0.5932804921331336	0.30640657138196664	13	False	500	150	0.908	0.7952920729082836	0.07082253573995359	0.24594738427333	0.9433084919859609	0.9659809523809523	315	35	11	139	500	150	0.938	0.8526712277632862	0.05377886216877691	0.20027991154406086	0.9433084919859609	0.9659809523809523	334	16	15	135
0	0.5	ESMCHalo	0.5932804922280503	0.5082346332754211	11	False	500	250	0.916	0.8333076524034722	0.05892207309380578	0.19231778883757988	0.9820526807871012	0.980656	222	28	14	236	500	250	0.924	0.8482443295554358	0.05665540422136045	0.18647777677962615	0.9820526807871012	0.980656	228	22	16	234
0	0.5	DeepSaltPro	0.5932804921331336	0.5232156985848726	12	False	500	250	0.896	0.793244784499459	0.07306389565914906	0.24075228801154763	0.9715726935060726	0.969152	217	33	19	231	500	250	0.898	0.7965163099074654	0.07002582864923593	0.23181844589014383	0.9715726935060726	0.969152	220	30	21	229
0	0.7	ESMCHalo	0.5932804922280503	0.7073021843827464	11	False	500	350	0.928	0.8292593354492105	0.053353418125627806	0.1811948879784461	0.9855390971637985	0.9755809523809523	133	17	19	331	500	350	0.928	0.8269350411808646	0.0531687795452653	0.1794584256277557	0.9855390971637985	0.9755809523809523	129	21	15	335
0	0.7	DeepSaltPro	0.5932804921331336	0.7157636797913467	12	False	500	350	0.918	0.8059525243854014	0.05729043809814569	0.1908240255503363	0.9846027326449353	0.9721142857142857	131	19	22	328	500	350	0.916	0.7975021798654881	0.05763045935210311	0.19236147877997217	0.9846027326449353	0.9721142857142857	125	25	17	333
1	0.3	ESMCHalo	0.5932804923562103	0.30074756511268913	12	False	500	150	0.936	0.8544644453832965	0.05089951996905908	0.1769242847977165	0.9708852689605418	0.9829904761904762	326	24	8	142	500	150	0.948	0.8751247288953672	0.04040554474145194	0.1425416301308092	0.9708852689605418	0.9829904761904762	340	10	16	134
1	0.3	DeepSaltPro	0.5932804921331291	0.28999606598827005	14	False	500	150	0.914	0.8082939592889445	0.06108319068909988	0.20304569726577762	0.9618305626779362	0.9753333333333334	317	33	10	140	500	150	0.95	0.8796645730364624	0.04533988789231652	0.16972035929475401	0.9618305626779362	0.9753333333333334	343	7	18	132
1	0.5	ESMCHalo	0.5932804923562103	0.500844810589931	10	False	500	250	0.938	0.876343594046504	0.04831335015578825	0.17019481742512818	0.9844427366425157	0.983104	231	19	12	238	500	250	0.934	0.8680069440833291	0.04815580870889952	0.1668799135080803	0.9844427366425157	0.983104	233	17	16	234
1	0.5	DeepSaltPro	0.5932804921331291	0.4761633274650636	13	False	500	250	0.922	0.844006752081025	0.06028380952560179	0.20348237657101617	0.9777963949098416	0.9744320000000001	230	20	19	231	500	250	0.916	0.8329601234121696	0.06096182816121129	0.20792547941101464	0.9777963949098416	0.9744320000000001	235	15	27	223
