dataset	subset	contrast	ACC	MCC	Brier	log_loss	AP	AUROC
haloclass_newtest1402	all	E0_Platt-H0_frozen	-0.014978601997146956	-0.03776694934285313	0.011435679691738865	0.07923119160737524	-0.039589910872206424	-0.018404160754884713
haloclass_newtest1402	all	E0_Platt-DeepSaltPro_raw	-0.023537803138373725	0.0015385944885393799	0.0494985708691027	0.3263036171942667	-0.015666657420789987	0.0076732080890271614
haloclass_newtest1402	all	E0_Platt-DeepSaltPro_R2_Platt	-0.023537803138373725	0.0015385944885393799	0.01759759829914248	0.09039810642361823	-0.015666657420789987	0.0076732080890271614
haloclass_newtest1402	historical_strict40	E0_Platt-H0_frozen	-0.0153621068032187	-0.03890660103744148	0.011589333742030361	0.08075378761833008	-0.03971901926576138	-0.01840659216001228
haloclass_newtest1402	historical_strict40	E0_Platt-DeepSaltPro_raw	-0.023408924652523755	0.004430816767962642	0.050140065733574685	0.33367576664956644	-0.017771185935491096	0.007666199298494103
haloclass_newtest1402	historical_strict40	E0_Platt-DeepSaltPro_R2_Platt	-0.023408924652523755	0.004430816767962642	0.01754416619557475	0.09120023590811588	-0.017771185935491096	0.007666199298494103
haloclass_newtest1402	historical_strict25	E0_Platt-H0_frozen	-0.015163002274450332	-0.03925760254435262	0.011490345712082628	0.08113216227505138	-0.03894097156386478	-0.018183150183150087
haloclass_newtest1402	historical_strict25	E0_Platt-DeepSaltPro_raw	-0.023502653525398043	0.0045872502639367485	0.04965030564195455	0.33632428281720694	-0.015639491356762125	0.008835164835164666
haloclass_newtest1402	historical_strict25	E0_Platt-DeepSaltPro_R2_Platt	-0.023502653525398043	0.0045872502639367485	0.01690510690503738	0.08850052791281415	-0.015639491356762125	0.008835164835164666
haloclass_zhang278	all	E0_Platt-H0_frozen	-0.007194244604316502	-0.011912254312279491	0.0011967908294076846	0.002373233269119257	0.0005734734651929863	0.0003623000879872107
haloclass_zhang278	all	E0_Platt-DeepSaltPro_raw	0.0	0.016995967537645873	-0.00885440432504947	-0.03839203202889002	0.021124672331492178	0.025361006159101418
haloclass_zhang278	all	E0_Platt-DeepSaltPro_R2_Platt	0.0	0.016995967537645873	-0.0051549956687826914	-0.028356283532108617	0.021124672331492178	0.025361006159101418
haloclass_zhang278	historical_strict40	E0_Platt-H0_frozen	-0.0072727272727273196	-0.012131386250726406	0.0010666211744898985	0.0021090124472381566	0.0005857745086944588	0.0003702528297894192
haloclass_zhang278	historical_strict40	E0_Platt-DeepSaltPro_raw	0.0036363636363635488	0.02280869467710045	-0.009304668479899053	-0.03934785358003423	0.020999276667794997	0.025177192425684947
haloclass_zhang278	historical_strict40	E0_Platt-DeepSaltPro_R2_Platt	0.0036363636363635488	0.02280869467710045	-0.005056053001062183	-0.02806321802766526	0.020999276667794997	0.025177192425684947
haloclass_zhang278	historical_strict25	E0_Platt-H0_frozen	-0.0074349442379182396	-0.012415450524346006	0.0012138964906432403	0.002583106036742111	0.0005704900961057691	0.00033167495854058426
haloclass_zhang278	historical_strict25	E0_Platt-DeepSaltPro_raw	0.0037174721189591198	0.023110630888668937	-0.009317605348517805	-0.03887288875190975	0.02036450392718292	0.024488667772249895
haloclass_zhang278	historical_strict25	E0_Platt-DeepSaltPro_R2_Platt	0.0037174721189591198	0.023110630888668937	-0.004680887450444579	-0.02548027153938326	0.02036450392718292	0.024488667772249895
